RI,Na,Al,Ca,Type
1.52101,13.64,1.1,8.75,BuildWindows-Float
1.51761,13.89,1.36,7.83,BuildWindows-Float
1.51618,13.53,1.54,7.78,BuildWindows-Float
1.51766,13.21,1.29,8.22,BuildWindows-Float
1.51742,13.27,1.24,8.07,BuildWindows-Float
1.51596,12.79,1.62,8.07,BuildWindows-Float
1.51743,13.3,1.14,8.17,BuildWindows-Float
1.51756,13.15,1.05,8.24,BuildWindows-Float
1.51918,14.04,1.37,8.3,BuildWindows-Float
1.51755,13,1.36,8.4,BuildWindows-Float
1.51571,12.72,1.56,8.09,BuildWindows-Float
1.51763,12.8,1.27,8.56,BuildWindows-Float
1.51589,12.88,1.4,8.05,BuildWindows-Float
1.51748,12.86,1.27,8.38,BuildWindows-Float
1.51763,12.61,1.31,8.5,BuildWindows-Float
1.51761,12.81,1.23,8.39,BuildWindows-Float
1.51784,12.68,1.16,8.7,BuildWindows-Float
1.52196,14.36,0.89,9.15,BuildWindows-Float
1.51911,13.9,1.18,8.89,BuildWindows-Float
1.51735,13.02,1.69,8.44,BuildWindows-Float
1.5175,12.82,1.49,8.52,BuildWindows-Float
1.51966,14.77,0.29,9,BuildWindows-Float
1.51736,12.78,1.29,8.7,BuildWindows-Float
1.51751,12.81,1.35,8.59,BuildWindows-Float
1.5172,13.38,1.15,8.43,BuildWindows-Float
1.51764,12.98,1.21,8.53,BuildWindows-Float
1.51793,13.21,1.41,8.43,BuildWindows-Float
1.51721,12.87,1.33,8.43,BuildWindows-Float
1.51768,12.56,1.43,8.54,BuildWindows-Float
1.51784,13.08,1.28,8.49,BuildWindows-Float
1.51768,12.65,1.3,8.69,BuildWindows-Float
1.51747,12.84,1.14,8.55,BuildWindows-Float
1.51775,12.85,1.23,8.56,BuildWindows-Float
1.51753,12.57,1.38,8.55,BuildWindows-Float
1.51783,12.69,1.34,8.75,BuildWindows-Float
1.51567,13.29,1.21,8.57,BuildWindows-Float
1.51909,13.89,1.32,8.78,BuildWindows-Float
1.51797,12.74,1.35,8.68,BuildWindows-Float
1.52213,14.21,0.47,9.57,BuildWindows-Float
1.51755,12.71,1.2,8.64,BuildWindows-Float
1.51779,13.21,1.33,8.59,BuildWindows-Float
1.51786,12.73,1.19,8.76,BuildWindows-Float
1.519,13.49,1.35,9,BuildWindows-Float
1.51869,13.19,1.18,8.83,BuildWindows-Float
1.52667,13.99,0.71,9.82,BuildWindows-Float
1.52223,13.21,0.79,10.02,BuildWindows-Float
1.51898,13.58,1.23,8.91,BuildWindows-Float
1.51926,13.2,1.28,9.14,BuildWindows-Float
1.51808,13.43,1.19,9.03,BuildWindows-Float
1.51837,13.14,1.28,9.07,BuildWindows-Float
1.51778,13.21,1.29,9.02,BuildWindows-Float
1.51769,12.45,1.29,9.06,BuildWindows-Float
1.51215,12.99,1.12,8.35,BuildWindows-Float
1.51824,12.87,1.29,8.43,BuildWindows-Float
1.51754,13.48,1.17,8.03,BuildWindows-Float
1.51754,13.39,1.19,8.27,BuildWindows-Float
1.51905,13.6,1.11,8.76,BuildWindows-Float
1.51977,13.81,1.32,8.67,BuildWindows-Float
1.52172,13.51,0.88,9.54,BuildWindows-Float
1.52227,14.17,0.78,9.69,BuildWindows-Float
1.52172,13.48,0.9,9.61,BuildWindows-Float
1.52099,13.69,1.12,9.4,BuildWindows-Float
1.52152,13.05,0.87,9.85,BuildWindows-Float
1.52152,13.05,0.87,9.85,BuildWindows-Float
1.52152,13.12,0.9,9.82,BuildWindows-Float
1.523,13.31,0.82,10.17,BuildWindows-Float
1.51574,14.86,1.74,7.36,BuildWindows-NonFloat
1.51848,13.64,1.27,8.32,BuildWindows-NonFloat
1.51593,13.09,1.52,7.83,BuildWindows-NonFloat
1.51631,13.34,1.57,7.89,BuildWindows-NonFloat
1.51596,13.02,1.54,7.9,BuildWindows-NonFloat
1.5159,13.02,1.51,7.96,BuildWindows-NonFloat
1.51645,13.44,1.54,8.03,BuildWindows-NonFloat
1.51627,13,1.54,8.04,BuildWindows-NonFloat
1.51613,13.92,1.25,7.94,BuildWindows-NonFloat
1.5159,12.82,1.9,7.97,BuildWindows-NonFloat
